InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country
C329991,54852,CERAMIC TEA POT FLORAL,3,2012-04-10 00:00:00,37.82,17532.0,Switzerland
C657373,84155,JUMBO BAG RED RETROSPOT,2,2011-07-05 00:00:00,6.32,,France
333725,58402,  VINTAGE SNAKES & LADDERS ,8,09-05-2011,4.13,12096.0,Germany
428761,87714,  BIRTHDAY CARD VINTAGE DESIGN,14,"Jul 24, 2012",4.08,16680.0,EIRE
946626,41566, VINTAGE SNAKES & LADDERS ,2,11-09-2011,10.23,,Germany
838706,24393,RETRO COFFEE MUG SET ,2,03/11/2012,8.85,12619.0,United Kingdom
588121,57310, VINTAGE SNAKES & LADDERS ,7,26/11/2012,12.27,18054.0,United Kingdom
355069,78206,CERAMIC TEA POT FLORAL,5,"Sep 19, 2011",2.41,18341.0,United Kingdom
346509,25303, REGENCY CAKESTAND 3 TIER,2,"Jun 25, 2012",8.28,18130.0,United Kingdom
609212,14787,  VINTAGE SNAKES & LADDERS,2,04-28-2012,5.24,15164.0,Switzerland
611984,15362,SET OF 3 CAKE TINS PANTRY DESIGN,2,"Oct 28, 2012",6.99,15815.0,United Kingdom
977742,87255, HOME DECOR LIGHT STRING,1,12-18-2011,4.57,18629.0,France
643056,97287, SCENTED CANDLE GIFT PACK,1,2011-02-28 00:00:00,18.37,19662.0,United Kingdom
C169072,31329,WHITE HANGING HEART T-LIGHT HOLDER,15,07/04/2011,3.99,,France
618953,29362, WOODEN PICTURE FRAME WHITE FINISH,3,09-03-2011,43.92,12492.0,United Kingdom
794025,82439, BIRTHDAY CARD VINTAGE DESIGN ,8,21/12/2011,8.44,,United Kingdom
157771,50540,  WHITE HANGING HEART T-LIGHT HOLDER,1,"Jun 06, 2012",10.68,18485.0,United Kingdom
839026,85400, VINTAGE SNAKES & LADDERS,3,12/09/2012,7.14,,Norway
395673,74165, VINTAGE SNAKES & LADDERS,2,17/10/2011,10.55,10218.0,United Kingdom
676265,80258,  WOODEN PICTURE FRAME WHITE FINISH,1,12-01-2010,6.5,15648.0,United Kingdom
835609,48135, JUMBO BAG RED RETROSPOT,4,11-06-2011,8.55,11817.0,United Kingdom
827513,15620,WHITE HANGING HEART T-LIGHT HOLDER ,8,02/08/2012,10.97,14160.0,EIRE
731615,81388,JUMBO BAG RED RETROSPOT ,5,2011-04-10 00:00:00,50.04,,United Kingdom
646120,44889, REGENCY CAKESTAND 3 TIER,8,07-05-2012,12.36,10810.0,United Kingdom
192416,35654,SCENTED CANDLE GIFT PACK ,3,"Oct 23, 2012",3.22,13930.0,United Kingdom
896960,92597,  PLANT POTS GARDEN SET,1,05-03-2012,6.99,16170.0,Germany
335851,20596, PACK OF 72 RETROSPOT CAKE CASES,5,06-07-2011,6.54,11459.0,Belgium
511267,99241,  WHITE HANGING HEART T-LIGHT HOLDER ,5,07-16-2011,5.5,10093.0,Spain
668786,85937, RETRO COFFEE MUG SET ,7,2012-07-11 00:00:00,11.82,16473.0,EIRE
653669,68027,WOODEN PICTURE FRAME WHITE FINISH ,4,"Mar 21, 2012",14.27,11087.0,Germany
C313968,43550,ASSORTED COLOUR BIRD ORNAMENT ,2,07-14-2011,6.87,,United Kingdom
783753,82656,HOME DECOR LIGHT STRING,2,02/12/2010,6.36,,Belgium
836854,99449, HOME DECOR LIGHT STRING,5,2012-10-30 00:00:00,3.86,,Netherlands
735311,28953,  ASSORTED COLOUR BIRD ORNAMENT ,6,13-07-2011,12.93,15542.0,United Kingdom
608928,29158, WOODEN PICTURE FRAME WHITE FINISH,1,11-08-2011,18.67,11284.0,United Kingdom
306749,39164,HOME DECOR LIGHT STRING ,1,"Jun 02, 2012",4.35,16326.0,Germany
606805,54588, PARTY BUNTING ,1,09-08-2012,7.96,16041.0,United Kingdom
131153,91673,  REGENCY CAKESTAND 3 TIER,7,20/08/2011,4.37,13914.0,United Kingdom
963204,52723,SET OF 3 CAKE TINS PANTRY DESIGN,1,05-21-2012,2.57,16934.0,United Kingdom
897210,55538,WOODEN PICTURE FRAME WHITE FINISH ,1,28/01/2011,23.56,15886.0,France
553116,66306,JUMBO BAG RED RETROSPOT ,7,31/07/2011,3.91,14583.0,United Kingdom
174231,20995, ASSORTED COLOUR BIRD ORNAMENT ,5,"Oct 17, 2012",27.87,13166.0,United Kingdom
164373,41786, PACK OF 72 RETROSPOT CAKE CASES ,8,24-11-2011,7.51,13162.0,France
526492,85164,PLANT POTS GARDEN SET ,3,08-07-2011,4.86,15161.0,Switzerland
307397,14123,PARTY BUNTING ,2,2012-04-19 00:00:00,15.35,17322.0,France
411896,15906,WHITE HANGING HEART T-LIGHT HOLDER,5,"Sep 24, 2012",4.52,,United Kingdom
386629,93766,  HOME DECOR LIGHT STRING,5,04-24-2012,15.48,13659.0,United Kingdom
439974,82204,  SCENTED CANDLE GIFT PACK ,6,2012-06-06 00:00:00,7.67,,United Kingdom
711882,68920, BIRTHDAY CARD VINTAGE DESIGN ,1,"Jul 21, 2012",3.87,,United Kingdom
223182,73123,PARTY BUNTING ,8,28/10/2011,8.73,14770.0,Netherlands
883103,20108,  PACK OF 72 RETROSPOT CAKE CASES ,4,05-05-2011,8.28,15882.0,United Kingdom
704596,25059, ASSORTED COLOUR BIRD ORNAMENT ,1,13/11/2012,3.14,15651.0,EIRE
510372,42406,  REGENCY CAKESTAND 3 TIER,2,29-11-2011,22.75,16860.0,United Kingdom
305459,88872,SET OF 3 CAKE TINS PANTRY DESIGN ,1,2011-09-30 00:00:00,19.57,19172.0,United Kingdom
713521,85207,BIRTHDAY CARD VINTAGE DESIGN ,2,2011-03-23 00:00:00,9.78,10566.0,United Kingdom
508916,76912,REGENCY CAKESTAND 3 TIER,7,09/05/2012,12.92,19083.0,United Kingdom
714769,10500, CERAMIC TEA POT FLORAL ,5,23-04-2012,12.35,,United Kingdom
869673,51230,RETRO COFFEE MUG SET ,1,01-11-2011,7.56,10141.0,Germany
C644475,28951,LUNCH BAG RED RETROSPOT ,1,28/03/2012,8.79,,Germany
262434,79806, SET OF 3 CAKE TINS PANTRY DESIGN ,1,2011-07-14 00:00:00,10.47,14482.0,Germany
694670,50129, PACK OF 72 RETROSPOT CAKE CASES ,2,20/05/2012,5.66,,United Kingdom
133734,65178, JUMBO BAG RED RETROSPOT,3,"Mar 29, 2012",26.0,14122.0,United Kingdom
861262,91512,PLANT POTS GARDEN SET ,5,16-04-2011,15.46,17219.0,United Kingdom
210160,82231,  LUNCH BAG RED RETROSPOT ,2,"Jun 25, 2011",4.35,18450.0,United Kingdom
913071,36014,  PACK OF 72 RETROSPOT CAKE CASES ,-8,2012-10-12 00:00:00,4.31,11366.0,United Kingdom
332459,50768,  PLANT POTS GARDEN SET ,2,2011-11-14 00:00:00,11.38,15307.0,United Kingdom
924765,34996,JUMBO BAG RED RETROSPOT,1,16/07/2012,16.37,19912.0,United Kingdom
916445,17159,JUMBO BAG RED RETROSPOT ,1,"Oct 23, 2012",6.69,10013.0,EIRE
820531,65420,PARTY BUNTING,2,2012-02-01 00:00:00,9.68,15485.0,Germany
160561,26204,  HOME DECOR LIGHT STRING ,3,06/08/2011,12.5,15349.0,Germany
642301,92025,SET OF 3 CAKE TINS PANTRY DESIGN,6,08-16-2011,11.68,,Netherlands
741774,55999,BIRTHDAY CARD VINTAGE DESIGN,3,"Apr 03, 2011",10.26,11143.0,Belgium
242394,38893,  BIRTHDAY CARD VINTAGE DESIGN,2,03-16-2011,3.31,10834.0,United Kingdom
850782,90589, HOME DECOR LIGHT STRING,1,2011-09-15 00:00:00,6.57,19796.0,United Kingdom
790753,32286,LUNCH BAG RED RETROSPOT ,4,04-22-2011,12.33,12138.0,United Kingdom
989340,79192, HOME DECOR LIGHT STRING,7,"Oct 26, 2012",7.22,11596.0,Australia
473337,68574,  ASSORTED COLOUR BIRD ORNAMENT ,3,23/01/2012,3.64,14352.0,Switzerland
830076,90520, REGENCY CAKESTAND 3 TIER ,1,11/01/2012,6.61,,United Kingdom
577959,82502, ASSORTED COLOUR BIRD ORNAMENT ,1,29-07-2012,5.4,17407.0,United Kingdom
853696,25668, CERAMIC TEA POT FLORAL,-2,2012-01-15 00:00:00,33.44,10960.0,United Kingdom
318168,24407, JUMBO BAG RED RETROSPOT ,1,14-12-2010,6.01,12534.0,United Kingdom
C870878,86625,LUNCH BAG RED RETROSPOT ,6,InvalidDate,5.54,,United Kingdom
344942,19117, LUNCH BAG RED RETROSPOT,3,2012-03-17 00:00:00,16.42,,United Kingdom
192115,25389,  LUNCH BAG RED RETROSPOT ,6,InvalidDate,17.03,18181.0,United Kingdom
C316383,76480,  BIRTHDAY CARD VINTAGE DESIGN,1,02-23-2011,8.16,19176.0,Germany
488938,98534,WHITE HANGING HEART T-LIGHT HOLDER ,-9,26/03/2011,7.41,16770.0,United Kingdom
275405,69799,HOME DECOR LIGHT STRING ,3,"Dec 20, 2011",8.88,10959.0,Spain
227602,26575,JUMBO BAG RED RETROSPOT ,3,"Jun 13, 2011",2.55,14142.0,France
277132,46375,SET OF 3 CAKE TINS PANTRY DESIGN ,3,InvalidDate,12.86,11029.0,United Kingdom
387555,23621,VINTAGE SNAKES & LADDERS ,1,30-09-2012,6.49,19362.0,United Kingdom
529865,33814,SCENTED CANDLE GIFT PACK ,9,28-04-2011,16.62,11828.0,United Kingdom
863580,60805, HOME DECOR LIGHT STRING,4,03-22-2012,6.95,,United Kingdom
301081,14983,  REGENCY CAKESTAND 3 TIER,2,12-30-2010,10.3,,United Kingdom
413392,60075,SET OF 3 CAKE TINS PANTRY DESIGN ,2,12-21-2011,4.75,18801.0,United Kingdom
580001,17711, WHITE HANGING HEART T-LIGHT HOLDER ,3,2012-08-29 00:00:00,3.43,18304.0,EIRE
311284,74771,JUMBO BAG RED RETROSPOT ,5,2011-02-22 00:00:00,10.05,17081.0,United Kingdom
869606,66997,  VINTAGE SNAKES & LADDERS,5,04-07-2011,10.98,,United Kingdom
544128,62158,WOODEN PICTURE FRAME WHITE FINISH ,4,13-12-2011,2.86,13212.0,United Kingdom
479989,54858, SET OF 3 CAKE TINS PANTRY DESIGN,1,28-11-2011,16.29,12821.0,United Kingdom
928667,87734,  LUNCH BAG RED RETROSPOT ,11,"Dec 12, 2010",9.73,17214.0,United Kingdom
674543,52176,  BIRTHDAY CARD VINTAGE DESIGN,3,2011-03-28 00:00:00,5.45,14342.0,Japan
408094,55950, PACK OF 72 RETROSPOT CAKE CASES,2,21/12/2011,3.52,15681.0,United Kingdom
814166,34230, REGENCY CAKESTAND 3 TIER,2,2012-09-14 00:00:00,11.04,13913.0,France
143923,81641,PLANT POTS GARDEN SET,4,21/06/2011,10.39,17824.0,Germany
792494,89059,  PACK OF 72 RETROSPOT CAKE CASES,2,09-08-2012,11.02,16041.0,Germany
805314,50533,HOME DECOR LIGHT STRING ,5,"Jan 19, 2011",4.26,14365.0,Spain
761386,72985,  HOME DECOR LIGHT STRING ,17,2011-06-26 00:00:00,5.66,10278.0,Australia
267932,25065,WHITE HANGING HEART T-LIGHT HOLDER,1,17-05-2011,41.57,14030.0,United Kingdom
378652,32380,  RETRO COFFEE MUG SET ,2,30-04-2012,6.24,13113.0,EIRE
361968,32740, JUMBO BAG RED RETROSPOT,8,18/08/2012,10.04,19776.0,Portugal
335892,37115,WOODEN PICTURE FRAME WHITE FINISH,4,"Dec 28, 2010",18.1,,Germany
129986,16613, PARTY BUNTING ,2,09/02/2012,5.54,12190.0,United Kingdom
221937,46509, WOODEN PICTURE FRAME WHITE FINISH,6,04-11-2011,6.2,,United Kingdom
686400,25819,  REGENCY CAKESTAND 3 TIER ,2,24/03/2011,4.15,12177.0,United Kingdom
682393,84967,  PLANT POTS GARDEN SET ,3,04-25-2012,13.06,,Germany
390160,80112,  REGENCY CAKESTAND 3 TIER,6,2012-08-20 00:00:00,6.04,13878.0,France
332298,91981,RETRO COFFEE MUG SET ,1,2012-09-24 00:00:00,10.05,18079.0,United Kingdom
676531,68360, CERAMIC TEA POT FLORAL,1,14-11-2012,3.69,19460.0,United Kingdom
608889,93791, VINTAGE SNAKES & LADDERS ,6,15-07-2011,28.13,,Netherlands
557519,44169,PARTY BUNTING,-4,"Mar 03, 2011",13.53,11526.0,EIRE
755337,37272,  PARTY BUNTING,2,2011-11-19 00:00:00,7.24,15233.0,United Kingdom
497597,86068,  SCENTED CANDLE GIFT PACK ,10,08/01/2011,11.25,13498.0,United Kingdom
420032,32218,  PARTY BUNTING ,2,"Jul 17, 2011",7.97,14918.0,Switzerland
924464,95587, ASSORTED COLOUR BIRD ORNAMENT,1,InvalidDate,5.74,18833.0,Germany
367201,35370, JUMBO BAG RED RETROSPOT,7,09-19-2012,9.0,,United Kingdom
C522397,90636,  RETRO COFFEE MUG SET,18,06-09-2012,2.58,17559.0,Netherlands
826989,19428, BIRTHDAY CARD VINTAGE DESIGN ,9,11-08-2011,13.15,,United Kingdom
534044,11263,SET OF 3 CAKE TINS PANTRY DESIGN,8,06-03-2011,7.82,17759.0,United Kingdom
915915,67941,  VINTAGE SNAKES & LADDERS,1,30/11/2011,7.05,12129.0,United Kingdom
840176,60302,SCENTED CANDLE GIFT PACK ,1,25-05-2011,2.94,,Germany
920047,79211,  JUMBO BAG RED RETROSPOT ,2,05/01/2011,3.28,17509.0,Germany
304829,68513, CERAMIC TEA POT FLORAL ,1,2011-05-29 00:00:00,0.0,,United Kingdom
C763478,80233, PACK OF 72 RETROSPOT CAKE CASES,1,11-29-2011,12.6,15148.0,EIRE
C996972,20223,CERAMIC TEA POT FLORAL,4,08-28-2011,3.27,14512.0,France
584600,74409, SET OF 3 CAKE TINS PANTRY DESIGN ,-9,"Feb 13, 2012",4.76,10027.0,United Kingdom
473410,86960, SCENTED CANDLE GIFT PACK,3,12-31-2011,5.65,11365.0,United Kingdom
671312,90398, ASSORTED COLOUR BIRD ORNAMENT ,2,"Jul 19, 2012",11.46,10180.0,Germany
347113,56619,  SCENTED CANDLE GIFT PACK ,1,04-25-2012,17.0,10410.0,United Kingdom
594509,33438, VINTAGE SNAKES & LADDERS,2,"Apr 07, 2012",6.86,11783.0,United Kingdom
245109,41115, WOODEN PICTURE FRAME WHITE FINISH ,2,"Jun 23, 2012",8.23,18704.0,United Kingdom
914294,49309, VINTAGE SNAKES & LADDERS,2,2011-09-08 00:00:00,10.59,18259.0,United Kingdom
C340617,59613,  WOODEN PICTURE FRAME WHITE FINISH ,2,11/11/2011,5.89,16798.0,United Kingdom
843264,93205, ASSORTED COLOUR BIRD ORNAMENT ,1,2011-12-21 00:00:00,14.46,17642.0,Australia
610119,76863,  SET OF 3 CAKE TINS PANTRY DESIGN ,2,26/01/2012,6.73,18898.0,United Kingdom
205509,94590,REGENCY CAKESTAND 3 TIER,1,2012-01-30 00:00:00,6.43,15015.0,France
307302,17038, JUMBO BAG RED RETROSPOT,2,"Sep 12, 2012",5.37,19821.0,United Kingdom
790778,35801,JUMBO BAG RED RETROSPOT,1,06/10/2012,31.84,,France
583042,10026, PACK OF 72 RETROSPOT CAKE CASES,4,24/09/2012,17.95,12130.0,United Kingdom
C584353,56458,PACK OF 72 RETROSPOT CAKE CASES,1,08-03-2012,17.3,19699.0,United Kingdom
941741,87929, ASSORTED COLOUR BIRD ORNAMENT,1,2012-10-18 00:00:00,3.11,11391.0,United Kingdom
270457,47886,WHITE HANGING HEART T-LIGHT HOLDER,4,2012-08-03 00:00:00,25.99,,United Kingdom
385626,14383,WOODEN PICTURE FRAME WHITE FINISH ,3,06/11/2011,9.47,,United Kingdom
C161596,42806,  ASSORTED COLOUR BIRD ORNAMENT,6,09-27-2011,13.19,,France
C599471,96479,SET OF 3 CAKE TINS PANTRY DESIGN ,1,05/04/2011,14.46,11412.0,United Kingdom
516673,16834,VINTAGE SNAKES & LADDERS ,6,07-30-2012,3.41,19640.0,France
834459,65919,CERAMIC TEA POT FLORAL,5,07-21-2012,9.56,17758.0,United Kingdom
309485,34798, VINTAGE SNAKES & LADDERS ,1,27-06-2011,12.81,16037.0,France
989217,96217, PARTY BUNTING,1,InvalidDate,6.71,19756.0,United Kingdom
178672,27335,  PARTY BUNTING ,2,04/05/2012,12.82,14837.0,Australia
853241,10386,  SCENTED CANDLE GIFT PACK ,4,25-12-2010,9.62,15030.0,Netherlands
407003,18303,  PACK OF 72 RETROSPOT CAKE CASES ,8,12-09-2011,9.68,17951.0,EIRE
566690,37460,  PLANT POTS GARDEN SET ,0,"Apr 26, 2011",4.28,13256.0,United Kingdom
145406,25174, ASSORTED COLOUR BIRD ORNAMENT,1,InvalidDate,5.34,,United Kingdom
C272106,57963,VINTAGE SNAKES & LADDERS,1,08/06/2011,9.51,11085.0,Norway
440459,53154, WHITE HANGING HEART T-LIGHT HOLDER ,1,10-14-2011,4.98,12469.0,EIRE
992016,56491,  ASSORTED COLOUR BIRD ORNAMENT ,2,"Dec 20, 2011",6.96,15368.0,United Kingdom
C543049,34288,REGENCY CAKESTAND 3 TIER,2,2011-04-14 00:00:00,7.16,,United Kingdom
847320,56996,  SET OF 3 CAKE TINS PANTRY DESIGN ,4,22-09-2012,14.3,16426.0,France
242728,20745, HOME DECOR LIGHT STRING,1,2010-12-28 00:00:00,15.89,12960.0,Norway
307193,73130, REGENCY CAKESTAND 3 TIER ,1,"Aug 04, 2012",5.52,16465.0,France
780143,23500,REGENCY CAKESTAND 3 TIER ,1,"Apr 10, 2011",8.8,,United Kingdom
279480,65416,SET OF 3 CAKE TINS PANTRY DESIGN ,8,04-03-2012,5.0,18913.0,United Kingdom
411741,29416, WHITE HANGING HEART T-LIGHT HOLDER,1,10/03/2011,13.94,15760.0,United Kingdom
795519,27245,SET OF 3 CAKE TINS PANTRY DESIGN,1,2011-04-20 00:00:00,18.7,19572.0,United Kingdom
338411,49536, SCENTED CANDLE GIFT PACK ,3,"Dec 05, 2010",8.24,14300.0,Portugal
511373,27610, JUMBO BAG RED RETROSPOT,1,14/09/2011,20.91,,United Kingdom
125322,91113, VINTAGE SNAKES & LADDERS ,1,01-18-2011,14.64,,United Kingdom
285169,90781, ASSORTED COLOUR BIRD ORNAMENT,4,14-09-2012,10.4,16430.0,United Kingdom
103060,12365, HOME DECOR LIGHT STRING,2,12/03/2011,2.46,10101.0,EIRE
745226,14383, ASSORTED COLOUR BIRD ORNAMENT,-2,04-05-2012,6.6,18047.0,United Kingdom
955243,20473,WHITE HANGING HEART T-LIGHT HOLDER,1,13/04/2012,9.47,17656.0,Belgium
C884875,93710,  HOME DECOR LIGHT STRING ,3,2011-05-09 00:00:00,6.75,16180.0,France
316194,49492,  REGENCY CAKESTAND 3 TIER ,1,30-01-2011,3.14,11416.0,United Kingdom
271999,68122,  PACK OF 72 RETROSPOT CAKE CASES,1,10-19-2011,5.66,18362.0,Netherlands
365033,19859,ASSORTED COLOUR BIRD ORNAMENT ,4,"Oct 16, 2011",8.8,12384.0,United Kingdom
C792289,73825,  ASSORTED COLOUR BIRD ORNAMENT,3,11-09-2012,7.76,19072.0,United Kingdom
319894,30773,SET OF 3 CAKE TINS PANTRY DESIGN,5,24/04/2012,8.75,17663.0,Portugal
215064,23794,  PACK OF 72 RETROSPOT CAKE CASES,8,2012-03-11 00:00:00,7.76,15759.0,United Kingdom
109795,17851,  SCENTED CANDLE GIFT PACK,1,01-01-2011,12.56,11474.0,France
259950,75961,  ASSORTED COLOUR BIRD ORNAMENT ,2,07-30-2011,4.89,10845.0,EIRE
594496,91984,  LUNCH BAG RED RETROSPOT ,8,22/12/2010,7.32,15224.0,EIRE
939949,83029,PLANT POTS GARDEN SET,1,16/03/2011,7.34,18095.0,United Kingdom
467658,11617, CERAMIC TEA POT FLORAL ,13,07-10-2012,2.48,11732.0,United Kingdom
985114,67263,VINTAGE SNAKES & LADDERS ,5,InvalidDate,5.5,11820.0,United Kingdom
491342,46660,VINTAGE SNAKES & LADDERS,1,13-10-2011,16.4,11564.0,Germany
690176,15631,VINTAGE SNAKES & LADDERS,5,03-13-2012,5.29,,Spain
756225,63619,PARTY BUNTING,5,07-11-2011,8.27,10052.0,United Kingdom
641028,41828,BIRTHDAY CARD VINTAGE DESIGN ,2,12/08/2012,3.17,18733.0,United Kingdom
334907,74175,  RETRO COFFEE MUG SET,-8,2011-03-11 00:00:00,15.48,19423.0,United Kingdom
760501,28300, SET OF 3 CAKE TINS PANTRY DESIGN,3,01-26-2012,13.02,10083.0,United Kingdom
896060,47814,  REGENCY CAKESTAND 3 TIER,5,"Nov 09, 2011",18.28,15076.0,France
C796314,67520,ASSORTED COLOUR BIRD ORNAMENT ,1,"Oct 07, 2011",4.72,13562.0,United Kingdom
561122,63389,  BIRTHDAY CARD VINTAGE DESIGN,4,2012-09-25 00:00:00,6.24,18487.0,United Kingdom
432343,53148,SET OF 3 CAKE TINS PANTRY DESIGN,1,17-05-2011,8.96,13344.0,Switzerland
511811,37257,VINTAGE SNAKES & LADDERS,18,09/11/2012,11.69,18562.0,United Kingdom
776935,14899,  WOODEN PICTURE FRAME WHITE FINISH ,5,09-14-2011,6.02,14887.0,United Kingdom
975094,30872, HOME DECOR LIGHT STRING ,5,09-19-2011,8.19,14965.0,United Kingdom
C286968,77388, BIRTHDAY CARD VINTAGE DESIGN,1,04-30-2012,9.15,14061.0,Spain
122936,28693, WHITE HANGING HEART T-LIGHT HOLDER,2,"May 12, 2011",13.75,16517.0,United Kingdom
658867,77507,  SCENTED CANDLE GIFT PACK ,13,18/01/2011,5.03,18264.0,Switzerland
275295,57931,RETRO COFFEE MUG SET ,4,07-12-2011,32.51,15421.0,United Kingdom
C401517,21952, WOODEN PICTURE FRAME WHITE FINISH ,8,2012-09-27 00:00:00,10.58,17152.0,Switzerland
352771,27441, LUNCH BAG RED RETROSPOT ,3,01-05-2011,40.31,15281.0,United Kingdom
167300,45865,  REGENCY CAKESTAND 3 TIER,2,12/12/2010,9.06,13844.0,EIRE
140725,96675,REGENCY CAKESTAND 3 TIER,4,01-11-2012,14.55,14650.0,United Kingdom
126505,31352,LUNCH BAG RED RETROSPOT ,13,12-28-2011,10.5,18989.0,United Kingdom
978333,60241,PARTY BUNTING,5,24/11/2012,0.61,13337.0,Germany
778387,27215, WHITE HANGING HEART T-LIGHT HOLDER,3,2011-08-09 00:00:00,6.68,17810.0,Germany
101468,23123,  PACK OF 72 RETROSPOT CAKE CASES,2,2012-09-19 00:00:00,26.54,16062.0,United Kingdom
274898,83844, BIRTHDAY CARD VINTAGE DESIGN ,5,12/06/2011,12.99,11496.0,United Kingdom
944898,25945,WOODEN PICTURE FRAME WHITE FINISH,5,20-12-2010,13.34,19414.0,Spain
410725,67277,  PLANT POTS GARDEN SET,4,21/12/2011,5.08,14496.0,United Kingdom
232797,10533, JUMBO BAG RED RETROSPOT ,2,07-06-2011,20.6,19132.0,Portugal
237046,78659,PLANT POTS GARDEN SET ,1,"Oct 09, 2011",7.04,16805.0,United Kingdom
991712,89544,HOME DECOR LIGHT STRING ,7,11-02-2011,8.61,10496.0,United Kingdom
103212,20960,  CERAMIC TEA POT FLORAL ,2,04-10-2011,18.94,13293.0,Switzerland
350768,85205,ASSORTED COLOUR BIRD ORNAMENT,1,06-10-2012,7.38,15800.0,France
161260,44555,WOODEN PICTURE FRAME WHITE FINISH,3,"Aug 28, 2012",9.6,,United Kingdom
123880,10184,REGENCY CAKESTAND 3 TIER,4,01-21-2012,12.34,14345.0,Germany
744889,90221,  WOODEN PICTURE FRAME WHITE FINISH,4,2012-08-20 00:00:00,3.79,17044.0,United Kingdom
306422,15250,  JUMBO BAG RED RETROSPOT,8,"Jun 01, 2011",13.92,,United Kingdom
774502,80499, BIRTHDAY CARD VINTAGE DESIGN,4,24/05/2012,5.91,13756.0,United Kingdom
583512,93481,REGENCY CAKESTAND 3 TIER,1,"Jul 02, 2011",19.57,16837.0,Belgium
425499,46368,  LUNCH BAG RED RETROSPOT,3,01-09-2011,7.29,13527.0,United Kingdom
565996,18417,RETRO COFFEE MUG SET,0,"Mar 30, 2012",22.19,14595.0,United Kingdom
859860,55166,SCENTED CANDLE GIFT PACK,1,"Mar 28, 2011",9.76,10716.0,EIRE
194488,65715, PLANT POTS GARDEN SET,2,28/06/2011,14.46,17488.0,United Kingdom
100727,56901, PACK OF 72 RETROSPOT CAKE CASES ,1,08-07-2011,6.28,12373.0,United Kingdom
871702,46895, SCENTED CANDLE GIFT PACK,2,08-26-2012,8.39,14220.0,United Kingdom
703760,19711, SET OF 3 CAKE TINS PANTRY DESIGN,-6,2012-03-20 00:00:00,10.07,16285.0,United Kingdom
362128,20027,  PACK OF 72 RETROSPOT CAKE CASES,4,30-10-2011,6.36,,United Kingdom
351227,83758,BIRTHDAY CARD VINTAGE DESIGN,3,2011-10-14 00:00:00,5.53,11076.0,United Kingdom
635244,36255,WHITE HANGING HEART T-LIGHT HOLDER ,2,"Jun 06, 2012",5.89,15628.0,United Kingdom
283011,84781, PARTY BUNTING ,1,12-15-2011,9.81,11794.0,United Kingdom
216737,56454,ASSORTED COLOUR BIRD ORNAMENT,9,20/07/2012,2.6,12345.0,United Kingdom
419889,32525,  ASSORTED COLOUR BIRD ORNAMENT,1,2010-12-23 00:00:00,3.85,18995.0,United Kingdom
978809,90015,  PACK OF 72 RETROSPOT CAKE CASES,1,"Jun 08, 2012",10.89,,United Kingdom
852744,62189,LUNCH BAG RED RETROSPOT ,4,"Mar 16, 2012",6.26,,Portugal
C468697,64145,WHITE HANGING HEART T-LIGHT HOLDER,9,18-01-2011,12.27,14880.0,United Kingdom
C937566,35465,  BIRTHDAY CARD VINTAGE DESIGN,1,18/06/2012,13.02,11862.0,United Kingdom
C914892,48805,  PARTY BUNTING ,-7,"Jan 26, 2012",17.11,13249.0,United Kingdom
895818,69696,  WHITE HANGING HEART T-LIGHT HOLDER,1,"Dec 06, 2011",5.55,12220.0,Australia
862449,31832,WHITE HANGING HEART T-LIGHT HOLDER ,2,18/08/2011,15.62,16036.0,United Kingdom
C138311,34883,  HOME DECOR LIGHT STRING,3,2012-01-29 00:00:00,9.45,18127.0,United Kingdom
502854,26225, RETRO COFFEE MUG SET ,2,16/08/2011,14.13,16997.0,United Kingdom
469775,17169,PARTY BUNTING,3,05-07-2012,18.34,19529.0,United Kingdom
579456,18250,  CERAMIC TEA POT FLORAL,1,2011-10-19 00:00:00,12.38,15764.0,EIRE
805798,68260, CERAMIC TEA POT FLORAL ,3,03-05-2011,7.26,12922.0,Germany
584003,49238, CERAMIC TEA POT FLORAL,2,22-01-2012,4.33,,United Kingdom
134512,28940, RETRO COFFEE MUG SET,-3,10-12-2010,4.01,19791.0,United Kingdom
110514,26820, SCENTED CANDLE GIFT PACK ,3,23-09-2012,10.35,12239.0,United Kingdom
688510,80047,  PACK OF 72 RETROSPOT CAKE CASES ,3,06-02-2012,21.78,19372.0,United Kingdom
430080,78787,SCENTED CANDLE GIFT PACK ,8,10-08-2011,12.11,14017.0,Germany
674796,79506, HOME DECOR LIGHT STRING ,2,05-09-2011,6.85,18995.0,United Kingdom
387181,49097,  BIRTHDAY CARD VINTAGE DESIGN,2,12/12/2010,7.33,14928.0,United Kingdom
818980,30096,  VINTAGE SNAKES & LADDERS,5,22-10-2012,12.65,18833.0,United Kingdom
882409,11225,  BIRTHDAY CARD VINTAGE DESIGN,3,08/04/2011,7.72,14590.0,United Kingdom
316351,86614,HOME DECOR LIGHT STRING ,7,04/11/2012,6.22,,France
854547,18261, PARTY BUNTING,5,30-09-2012,3.3,10598.0,United Kingdom
155182,75941,  JUMBO BAG RED RETROSPOT,-1,17-03-2012,3.71,19155.0,United Kingdom
804133,48187,HOME DECOR LIGHT STRING,4,07-15-2012,5.26,18021.0,EIRE
420589,98789,HOME DECOR LIGHT STRING ,14,02-07-2012,6.95,10285.0,Portugal
